t (s),V (mV)
0,14.9767
1.051,15.2095
2.1,14.899
3.101,14.9016
4.102,14.9245
5.103,14.9339
6.104,14.9316
7.105,14.9256
8.106,14.9171
9.108,14.9082
10.109,14.8976
11.11,14.886
12.111,14.875
13.112,14.8646
14.113,14.8505
15.114,14.8374
16.115,14.825
17.116,14.812
18.117,14.7995
19.118,14.7876
20.119,14.7757
21.12,14.764
22.121,14.7517
23.122,14.7402
24.123,14.7276
25.124,14.7157
26.125,14.7039
27.126,14.6924
28.127,14.6807
29.128,14.6695
30.129,14.658
31.13,14.6461
32.131,14.6341
33.101,14.6229
34.121,14.6094
35.122,14.5994
36.123,14.5883
37.124,14.5761
38.125,14.567
39.126,14.5557
40.127,14.5445
41.128,14.5333
42.129,14.5149
43.13,14.5117
44.131,14.5006
45.101,14.4912
46.121,14.4782
47.122,14.4686
48.123,14.458
49.124,14.4481
50.125,14.4372
51.126,14.4271
52.127,14.4151
53.128,12.5604
54.129,14.9659
55.13,14.3866
56.131,14.3768
57.132,14.3654
58.102,14.3568
59.103,14.345
60.104,14.3334
61.105,14.3224
62.106,14.3125
63.107,14.3025
64.108,14.2924
65.109,14.2822
66.11,14.2709
67.111,14.2602
68.112,14.2495
69.113,14.238
70.114,14.2269
71.115,14.2171
72.116,14.2074
73.117,14.1968
74.118,14.1861
75.119,14.1758
76.12,14.165
77.121,14.1552
78.122,14.1454
79.123,14.1362
80.124,14.1266
81.125,14.118
82.126,14.1079
83.127,14.0974
84.128,14.0874
85.129,14.0775
86.13,14.0672
87.131,14.058
88.101,14.0481
89.102,14.0381
90.103,14.029
91.104,14.0193
92.105,14.0101
93.106,14.0006
94.107,13.9911
95.108,13.9819
96.109,13.9726
97.11,13.9631
98.111,13.9543
99.112,13.9442
100.113,13.9357
101.114,13.9261
102.115,13.9175
103.116,13.908
104.117,13.8987
105.118,13.8889
106.119,13.8788
107.12,13.8686
108.121,13.8588
109.122,13.8488
110.123,13.8386
111.125,13.8289
