t (s),V (mV)
0,13.8757
1.001,14.0066
2.002,13.7748
3.003,13.803
4.004,13.7669
5.005,13.72
6.006,13.6704
7.007,13.6206
8.008,13.5719
9.009,13.5225
10.01,13.4737
11.011,13.4253
12.012,13.3768
13.013,13.3286
14.014,13.28
15.015,13.2318
15.985,13.1853
16.986,13.1372
17.987,13.0894
18.988,13.0417
19.989,12.9949
20.99,12.9469
21.991,12.9016
22.992,12.8549
23.993,12.8081
24.994,12.7621
25.995,12.7164
26.996,12.6717
27.997,12.6268
28.998,12.5818
29.999,12.5371
31,12.492
32.001,12.4484
33.002,12.4053
34.003,12.3621
35.004,12.3184
36.005,12.2747
37.006,12.2318
38.007,12.1897
39.008,12.1473
40.009,12.1054
41.01,12.0628
42.011,12.0201
43.012,11.9776
44.013,11.9362
45.014,11.894
46.015,11.852
46.984,11.8115
47.985,11.771
48.987,11.7302
49.988,11.6892
50.989,11.6479
51.99,11.6077
52.991,11.5667
53.992,11.525
54.993,11.4843
55.994,11.444
56.995,11.4042
57.996,11.3648
58.997,11.3263
59.998,11.2864
60.999,11.247
62,11.2079
63.001,11.1691
64.002,11.131
65.003,11.0916
66.004,11.0531
67.005,11.0135
68.006,10.9748
69.007,10.9363
70.008,10.8979
71.009,10.8596
72.01,10.8221
73.011,10.785
74.012,10.7473
75.013,10.7096
76.014,10.672
77.015,10.635
77.984,10.5996
79.004,10.5623
80.005,10.5256
81.006,10.4887
82.007,10.4514
83.008,10.4154
84.009,10.3793
85.01,10.3426
86.011,10.3063
87.012,10.2707
88.013,10.2356
89.014,10.1997
90.015,10.1642
90.985,10.1294
91.986,10.094
92.987,10.0585
93.988,10.0239
94.989,9.98871
95.99,9.95434
96.991,9.92054
97.992,9.88578
98.993,9.85169
99.994,9.81691
100.995,9.78171
101.996,9.74976
102.997,9.71526
103.998,9.68212
104.999,9.6477
106,9.61358
107.001,9.58121
108.002,9.5482
109.003,9.51532
110.004,9.48243
111.005,9.44958
112.006,9.41699
113.007,9.38546
114.008,9.35298
115.009,9.32178
116.01,9.29009
117.011,9.25863
118.012,9.22711
119.013,9.19563
120.014,9.16361
121.015,9.13215
121.984,9.10148
122.985,9.06998
123.986,9.03914
124.987,9.00845
125.988,8.97714
126.989,8.94697
127.99,8.91703
128.991,8.88652
129.992,8.85635
130.993,8.82588
131.994,8.79549
132.995,8.76568
133.996,8.73506
134.997,8.70518
135.998,8.6752
136.999,8.64577
138,8.61673
139.001,8.58793
140.002,8.55883
141.003,8.52991
142.004,8.50072
143.005,8.47185
144.006,8.44364
145.007,8.41436
146.008,8.38524
147.009,8.35633
148.01,8.32827
149.011,8.29905
150.012,8.27027
151.013,8.24211
152.014,8.21375
153.015,8.18523
153.984,8.15826
154.985,8.12992
155.986,8.10196
156.987,8.07422
157.988,8.0468
158.989,8.01926
159.99,7.9928
160.991,7.96521
161.992,7.93839
162.993,7.91063
163.994,7.88363
164.995,7.85677
165.996,7.82981
166.997,7.80291
167.998,7.77634
168.999,7.74974
170,7.72298
171.001,7.69783
172.002,7.67216
173.003,7.64607
174.004,7.62009
175.006,7.59416
176.007,7.56818
177.007,7.54264
178.009,7.51719
179.01,7.49185
180.011,7.4667
181.012,7.44141
182.013,7.41602
183.014,7.39158
184.015,7.36679
184.984,7.34292
186.004,7.31704
187.005,7.29196
188.006,7.26742
189.007,7.24209
190.008,7.21794
191.009,7.19384
192.01,7.16988
193.011,7.14568
194.012,7.12175
195.013,7.09831
196.014,7.07453
197.015,7.05156
197.984,7.02858
198.985,7.00563
199.986,6.98277
200.987,6.96017
201.988,6.93718
202.989,6.91394
203.99,6.89089
204.991,6.86687
205.992,6.84373
206.993,6.82111
207.994,6.79799
208.995,6.77444
209.996,6.75151
210.997,6.72865
211.998,6.70652
212.999,6.6839
214,6.66159
215.001,6.63997
216.002,6.61793
217.003,6.59606
218.004,6.57415
219.005,6.55263
220.006,6.53117
221.007,6.50944
222.008,6.4882
223.009,6.4663
224.01,6.44566
225.011,6.42399
226.012,6.40284
227.013,6.38156
228.014,6.36089
229.015,6.33948
229.984,6.31909
231.005,6.29764
232.006,6.27694
233.007,6.25713
234.008,6.23727
235.009,6.21827
236.01,6.19759
237.011,6.17741
238.012,6.15678
239.013,6.13597
240.014,6.11577
240.984,6.09584
241.985,6.07488
242.986,6.05488
243.987,6.03452
244.988,6.01421
245.989,5.99449
246.99,5.9743
247.991,5.95503
248.992,5.93529
