t (s),V (mV)
0,21.7923
1.001,21.5143
2.002,21.5299
3.003,21.534
4.004,21.5209
5.005,21.4999
6.006,21.4745
7.007,21.4461
8.008,21.4136
9.009,21.3806
10.01,21.3465
11.011,21.3124
12.012,21.277
13.013,21.239
14.014,21.2071
15.015,21.1711
16.016,21.1356
17.017,21.1011
18.018,21.0665
19.019,21.0312
20.02,20.9973
21.021,20.9622
22.022,20.928
23.023,20.8924
24.024,20.8575
25.025,20.8227
26.027,20.788
27.028,20.7533
28.029,20.7185
29.03,20.684
30.031,20.6501
31.032,20.6162
32.001,20.583
33.002,20.5489
34.003,20.5148
35.004,20.4805
36.005,20.4472
37.006,20.4131
38.007,20.38
39.008,20.3467
40.009,20.3142
41.01,20.28
42.011,20.2478
43.012,20.2169
44.013,20.1838
45.014,20.1513
46.015,20.1187
47.016,20.0872
48.017,20.0555
49.018,20.0239
50.019,19.9912
51.02,19.9599
52.021,19.9296
53.022,19.8977
54.023,19.8667
55.024,19.8356
56.025,19.8047
57.026,19.7744
58.027,19.7426
59.028,19.7115
60.029,19.6796
61.03,19.6476
62.031,19.617
63,19.5868
64.02,19.556
65.021,19.5252
66.022,19.4951
67.023,19.4639
68.024,19.4343
69.025,19.4036
70.026,19.3726
71.027,19.3426
72.028,19.3123
73.029,19.2822
74.03,19.2515
75.031,19.2214
76,19.1932
77.001,19.1639
78.002,19.1337
79.003,19.1041
80.004,19.0758
81.005,19.0462
82.006,19.0164
83.007,18.9866
84.008,18.9578
85.009,18.9282
86.01,18.8991
87.011,18.8706
88.012,18.841
89.013,18.813
90.014,18.7841
91.015,18.756
92.016,18.7273
93.017,18.6995
94.018,18.671
95.019,18.6438
96.02,18.6162
97.021,18.5888
98.022,18.5608
99.023,18.5329
100.024,18.5047
101.025,18.4778
102.026,18.4488
103.027,18.4208
104.028,18.3926
105.029,18.3645
106.03,18.3361
107.031,18.3082
108,18.2816
109.001,18.2536
110.002,18.2274
111.003,18.2007
112.004,18.1741
113.005,18.1472
114.006,18.1199
115.007,18.0928
116.008,18.0656
117.009,18.0383
118.01,18.0112
119.011,17.9835
120.012,17.9569
121.013,17.9295
122.014,17.9027
123.015,17.8759
124.016,17.8492
125.017,17.8227
126.018,17.7951
127.019,17.7685
128.02,17.7408
129.021,17.714
130.022,17.6874
131.023,17.6607
132.024,17.6353
133.025,17.6098
134.026,17.5835
135.027,17.5578
136.028,17.5311
137.029,17.505
138.03,17.4782
139.031,17.4523
139.999,17.4272
141.001,17.4012
142.002,17.3757
143.003,17.35
144.004,17.3241
145.005,17.2975
146.006,17.2715
147.007,17.2455
148.008,17.2191
149.009,17.1933
150.01,17.1674
151.011,17.1407
152.012,17.1146
153.013,17.0883
154.014,17.0625
155.015,17.036
156.016,17.0104
157.017,16.9847
158.018,16.9592
159.019,16.9337
160.02,16.9071
161.021,16.8819
162.022,16.8558
163.023,16.8299
164.024,16.8042
165.025,16.7789
166.026,16.7537
167.027,16.7287
168.028,16.703
169.029,16.6776
170.03,16.653
171.031,16.628
172,16.6039
173.02,16.5782
174.021,16.5526
175.022,16.527
176.023,16.5015
177.024,16.4768
178.025,16.4525
179.026,16.4264
180.027,16.4016
181.028,16.3768
182.029,16.3499
183.03,16.3267
184,16.3019
185.001,16.2774
186.002,16.2527
187.003,16.2286
188.004,16.2045
189.005,16.1811
190.006,16.1577
191.007,16.1343
192.008,16.1103
193.009,16.0878
194.01,16.0661
195.011,16.0405
196.012,16.0177
197.013,15.9933
198.014,15.9699
199.015,15.9463
200.016,15.9234
201.017,15.9003
202.018,15.8768
203.019,15.8531
204.02,15.8293
205.021,15.8051
206.022,15.7815
207.023,15.7575
208.024,15.7336
209.025,15.7099
210.026,15.687
211.027,15.663
212.028,15.6399
213.029,15.6165
214.03,15.593
215.031,15.5694
216,15.5466
217.001,15.5233
218.002,15.501
219.003,15.477
220.004,15.4537
221.005,15.4298
222.006,15.4063
223.007,15.3822
224.008,15.3597
225.009,15.337
226.01,15.3138
227.011,15.2914
228.012,15.2684
229.013,15.2457
230.014,15.223
231.015,15.1997
232.016,15.1764
233.017,15.1533
234.018,15.1299
235.019,15.1071
236.02,15.0834
237.021,15.0612
238.022,15.0378
239.023,15.015
240.024,14.9926
241.025,14.97
242.026,14.9471
243.027,14.9247
244.028,14.9026
245.029,14.8801
246.03,14.8575
247.031,14.8354
248,14.8135
249.001,14.7912
250.002,14.7692
251.003,14.7476
252.004,14.7261
253.005,14.7041
254.006,14.6826
255.007,14.6598
256.008,14.638
257.009,14.6159
258.01,14.5948
259.012,14.5732
260.013,14.5515
261.014,14.5308
262.015,14.5093
263.016,14.4887
264.017,14.4668
265.018,14.4451
266.019,14.4239
267.02,14.4027
268.021,14.3818
269.022,14.3601
270.023,14.3391
271.024,14.318
272.025,14.2968
273.026,14.2754
274.027,14.2533
275.028,14.2319
276.029,14.2103
277.03,14.1887
278.031,14.1678
279,14.1466
280.02,14.1248
281.021,14.1039
282.022,14.0829
283.023,14.0619
284.024,14.0415
285.025,14.0205
286.026,13.9997
287.027,13.9789
288.028,13.9584
289.029,13.938
290.03,13.917
291.031,13.8956
292,13.8759
293.02,13.8538
294.021,13.8333
295.022,13.8126
296.023,13.7913
297.024,13.7707
298.025,13.7501
299.026,13.729
300.027,13.7093
301.028,13.689
302.029,13.669
303.03,13.6481
304.031,13.6281
305,13.6085
306.021,13.5888
307.022,13.5688
308.023,13.5485
309.024,13.5291
310.025,13.5098
311.026,13.4911
312.027,13.4715
313.028,13.452
314.029,13.4327
315.03,13.4132
316.031,13.3936
317,13.3742
318.021,13.3538
319.022,13.3347
320.023,13.3143
321.024,13.2946
322.025,13.2748
323.026,13.2539
324.027,13.2339
325.028,13.2136
326.029,13.1939
327.03,13.1737
328.031,13.154
329,13.1355
330.001,13.1155
331.002,13.0953
332.003,13.0771
333.004,13.0558
334.005,13.0372
335.006,13.0163
336.007,12.9976
337.008,12.978
338.009,12.9597
339.01,12.9409
340.011,12.9209
341.012,12.9024
342.013,12.8836
343.014,12.8648
344.015,12.8456
345.016,12.826
346.017,12.8067
347.018,12.788
348.019,12.7697
349.02,12.7511
350.021,12.7327
351.022,12.7134
352.023,12.6939
353.024,12.6741
354.025,12.6543
355.026,12.6358
356.027,12.6158
357.028,12.5973
358.029,12.5778
359.03,12.5596
360,12.542
361.001,12.5235
362.002,12.5043
363.003,12.4858
364.004,12.4673
365.005,12.448
366.006,12.429
367.007,12.4103
368.008,12.3913
369.009,12.373
370.01,12.353
371.011,12.3334
372.012,12.3149
373.013,12.2966
374.015,12.2775
375.016,12.258
376.017,12.2388
377.018,12.2209
378.019,12.202
379.02,12.1846
380.021,12.1663
381.022,12.148
382.023,12.1276
383.024,12.1116
384.025,12.0925
385.026,12.0743
386.027,12.0559
387.028,12.0375
388.029,12.0205
389.03,12.0021
390.031,11.9837
391.001,11.9662
392.002,11.9476
393.003,11.9309
394.004,11.9131
395.005,11.8958
396.006,11.8774
397.007,11.8598
398.008,11.8426
399.009,11.8257
400.01,11.8086
401.011,11.7907
402.012,11.774
403.013,11.7564
404.014,11.7389
405.015,11.7215
406.016,11.7041
407.017,11.6862
408.018,11.669
409.019,11.6513
410.02,11.6333
411.021,11.6159
412.022,11.5972
413.023,11.5807
414.024,11.5635
415.025,11.5462
416.026,11.5291
417.027,11.5124
418.028,11.4968
419.029,11.4795
420.03,11.4647
421,11.449
422.021,11.4325
423.022,11.4166
424.023,11.3989
425.024,11.3817
426.025,11.3655
427.026,11.3479
428.027,11.3299
429.028,11.3122
430.029,11.2958
431.03,11.2795
432.031,11.2629
433,11.2466
434.021,11.2303
435.022,11.2132
436.023,11.1959
437.024,11.1796
438.025,11.163
439.026,11.1463
440.027,11.1297
441.028,11.113
442.029,11.0964
443.03,11.0801
444,11.0643
445.001,11.0473
446.002,11.0314
447.003,11.0149
448.004,10.9983
