t (s),V (mV)
0,17.9186
1.001,17.9182
2.002,17.8208
3.003,17.8523
4.004,17.8261
5.005,17.7589
6.006,17.6857
7.007,17.6113
8.008,17.5364
9.009,17.4619
10.01,17.3872
11.011,17.3123
12.012,17.2375
13.013,17.1628
14.014,17.0889
15.015,17.0152
16.016,16.9416
17.017,16.8693
18.018,16.7963
19.019,16.7244
20.02,16.6531
21.021,16.5814
22.022,16.5105
23.023,16.4404
24.024,16.3703
25.025,16.2992
26.026,16.2329
27.027,16.1633
28.028,16.0928
29.029,16.026
30.03,15.9566
31.031,15.8878
32,15.8213
33.02,15.7524
34.021,15.6853
35.022,15.6185
36.023,15.5521
37.024,15.4863
38.025,15.4199
39.026,15.355
40.027,15.2897
41.028,15.224
42.029,15.1595
43.03,15.0946
44.031,15.0302
45.001,14.9676
46.002,14.904
47.003,14.8402
48.004,14.7762
49.005,14.7132
50.006,14.6493
51.007,14.5863
52.008,14.5234
53.009,14.4613
54.01,14.3997
55.011,14.3376
56.012,14.2761
57.013,14.215
58.014,14.1534
59.015,14.0933
60.016,14.0326
61.017,13.9726
62.018,13.9125
63.019,13.8526
64.02,13.792
65.021,13.7323
66.022,13.6735
67.023,13.6142
68.024,13.5561
69.025,13.4978
70.026,13.4402
71.027,13.3824
72.028,13.3196
73.029,13.269
74.03,13.2099
75.031,13.1531
76.001,13.098
77.002,13.0416
78.003,12.9851
79.004,12.9278
80.005,12.8712
81.006,12.8175
82.007,12.7587
83.008,12.7056
84.009,12.6511
85.01,12.598
86.011,12.5447
87.012,12.4886
88.013,12.4351
89.014,12.3824
90.015,12.3295
91.016,12.2767
92.017,12.2233
93.018,12.1703
94.019,12.1166
95.02,12.064
96.021,12.0112
97.022,11.9588
98.023,11.907
99.024,11.8543
100.025,11.8027
101.026,11.7522
102.028,11.7012
103.029,11.6505
104.03,11.6008
105.031,11.5509
106.032,11.5009
107.001,11.4535
108.002,11.4033
109.003,11.3548
