t (s),V (mV)
314.039,14.0304
315.04,14.0182
316.041,14.007
317.042,13.9954
318.043,13.9833
319.044,13.9721
320.045,13.96
321.047,13.9484
322.048,13.9368
323.048,13.9251
324.05,13.9131
325.05,13.9024
326.052,13.892
327.052,13.8802
328.022,13.869
329.022,13.8589
330.024,13.847
331.024,13.8354
332.026,13.8238
333.027,13.812
334.028,13.8009
335.028,13.7902
336.03,13.7783
337.03,13.767
338.032,13.7557
339.033,13.7436
340.034,13.733
341.035,13.7215
342.036,13.7092
343.037,13.6976
344.038,13.6859
345.039,13.6753
346.04,13.6632
347.04,13.6516
348.042,13.6403
349.042,13.6288
350.044,13.6169
351.045,13.6053
352.046,13.594
353.047,13.5822
354.048,13.5707
355.049,13.5593
356.05,13.5475
357.051,13.5349
358.052,13.5237
359.022,13.513
360.023,13.5014
361.024,13.4907
362.025,13.4793
363.026,13.4678
364.027,13.4555
365.028,13.4447
366.029,13.4335
367.03,13.4223
368.031,13.4093
369.032,13.3986
370.033,13.3867
371.034,13.3747
372.035,13.3631
373.036,13.3507
374.037,13.3393
375.038,13.3277
376.039,13.3167
377.04,13.3052
378.041,13.2933
379.042,13.283
380.043,13.272
381.044,13.2623
382.045,13.2526
383.046,13.2421
384.047,13.2317
385.048,13.221
386.049,13.2098
387.05,13.1991
388.051,13.1885
389.052,13.1776
390.053,13.1661
391.022,13.1542
392.023,13.1429
393.024,13.1315
394.025,13.1211
395.026,13.1093
396.027,13.0981
397.028,13.0864
398.029,13.0757
399.03,13.065
400.031,13.0534
401.032,13.0429
402.033,13.0312
403.034,13.0198
404.035,13.0085
405.036,12.9972
406.037,12.986
407.038,12.9754
408.039,12.9643
409.04,12.9522
410.042,12.942
411.043,12.9314
412.044,12.9196
413.045,12.9085
414.046,12.8971
415.047,12.8866
416.048,12.8747
417.049,12.8641
418.05,12.8529
419.051,12.8421
420.052,12.8317
421.022,12.8211
422.023,12.8099
423.024,12.7986
424.025,12.7872
425.026,12.7772
426.027,12.7659
427.028,12.7552
428.029,12.7439
429.03,12.7331
430.031,12.7222
431.032,12.7113
432.033,12.7004
433.034,12.6903
434.035,12.6781
435.036,12.6659
436.037,12.655
437.038,12.6431
438.039,12.6322
439.04,12.6211
440.041,12.6104
441.042,12.5996
442.043,12.5882
443.044,12.5776
444.045,12.5668
445.046,12.5556
446.047,12.5444
447.048,12.5352
448.049,12.5237
449.05,12.5128
450.051,12.5019
451.052,12.4906
452.022,12.4807
453.023,12.4715
454.024,12.461
455.025,12.4512
456.026,12.4405
457.027,12.4309
458.028,12.4212
459.029,12.4111
460.03,12.4004
461.031,12.3903
462.032,12.3801
463.033,12.3694
464.034,12.3582
465.035,12.3485
466.036,12.3374
467.037,12.3268
468.038,12.3163
469.039,12.306
470.04,12.2959
471.041,12.2856
472.042,12.2757
473.043,12.2649
474.044,12.2548
475.045,12.245
476.046,12.2346
477.047,12.2245
478.048,12.2153
479.049,12.2052
480.05,12.1945
481.051,12.1841
482.052,12.1746
483.022,12.164
484.023,12.1534
485.024,12.143
486.025,12.1329
487.026,12.1218
488.027,12.112
489.028,12.1007
490.029,12.0906
491.03,12.0803
492.031,12.0709
493.032,12.0605
494.033,12.0504
495.034,12.0407
496.035,12.0313
497.036,12.0218
498.037,12.0135
499.038,12.0037
500.039,11.9936
501.04,11.9837
502.041,11.9741
503.042,11.9639
504.043,11.9542
505.044,11.9454
506.045,11.9357
507.046,11.9253
508.047,11.9147
509.048,11.9043
510.049,11.8939
511.05,11.8828
512.051,11.8733
513.052,11.8628
514.053,11.8531
515.023,11.8424
516.024,11.8323
517.025,11.8223
518.026,11.8118
519.027,11.8015
520.029,11.7911
521.03,11.7807
522.031,11.7695
523.032,11.7576
524.033,11.7464
525.034,11.7356
526.035,11.726
527.036,11.7154
528.037,11.7052
529.038,11.6955
530.039,11.6859
531.04,11.6754
