t (s),V (mV)
0,27.3254
0.95,27.324
1.917,27.3318
2.918,27.4233
3.919,27.148
4.92,27.0298
5.921,26.9233
6.922,26.8149
7.923,26.705
8.924,26.5974
9.925,26.4871
10.926,26.379
11.927,26.2709
12.928,26.1638
13.929,26.0568
14.93,25.9511
15.931,25.8453
16.932,25.7402
17.933,25.6357
18.934,25.5319
19.935,25.4285
20.936,25.3245
21.937,25.2206
22.938,25.1177
23.939,25.0164
24.94,24.9144
25.941,24.8127
26.942,24.7109
27.943,24.61
28.944,24.5093
29.945,24.4087
30.946,24.3094
31.947,24.2103
32.948,24.1126
33.918,24.0172
34.919,23.9211
35.92,23.825
36.921,23.7288
37.922,23.6331
38.923,23.5361
39.925,23.4399
40.926,23.3446
41.927,23.2496
42.928,23.1553
43.929,23.0614
44.93,22.9683
45.931,22.8759
46.932,22.7826
47.933,22.6887
48.934,22.596
49.935,22.5031
50.936,22.4114
51.937,22.32
52.938,22.2286
53.939,22.1391
54.94,22.0494
55.941,21.9599
56.942,21.8706
57.943,21.7813
58.944,21.6931
59.945,21.6053
60.946,21.5182
61.947,21.4312
62.948,21.3454
63.918,21.2609
64.919,21.1754
65.92,21.0893
66.921,21.0029
67.922,20.919
68.923,20.8319
69.924,20.7494
70.925,20.6654
71.926,20.5818
72.927,20.4987
73.928,20.4151
74.929,20.333
75.93,20.2501
76.931,20.1675
77.932,20.0851
78.933,20.0025
79.934,19.9205
80.935,19.8391
81.936,19.7587
82.937,19.6783
83.938,19.5994
84.939,19.52
85.94,19.4406
86.941,19.3616
87.942,19.2822
88.943,19.204
89.944,19.1254
90.945,19.0478
91.946,18.9701
92.947,18.8926
93.948,18.8157
94.917,18.7414
95.938,18.6634
96.939,18.5881
97.94,18.5127
98.941,18.4286
99.942,18.3616
100.943,18.2882
101.944,18.2143
102.945,18.1417
103.946,18.0675
104.947,17.9951
105.948,17.9227
106.917,17.8528
107.918,17.7816
108.919,17.71
109.92,17.6382
110.921,17.5669
