t (s),V (mV)
0,23.884
1.001,23.3948
2.002,22.6019
3.003,23.1398
3.972,23.0051
4.992,22.8321
5.993,22.6633
6.995,22.4952
7.996,22.3285
8.997,22.1613
9.998,21.9967
10.999,21.8335
12,21.6719
13.001,21.5111
14.002,21.3529
15.003,21.1951
16.004,21.0385
17.005,20.8829
17.974,20.7337
18.975,20.5805
19.976,20.429
20.977,20.2787
21.978,20.1297
22.979,19.9815
23.98,19.8343
24.981,19.6887
25.982,19.5446
26.983,19.4004
27.984,19.2579
28.985,19.1172
29.986,18.9772
30.987,18.8385
31.988,18.6992
32.989,18.5618
33.99,18.4255
34.991,18.2909
35.992,18.1567
36.993,18.0243
37.994,17.8933
38.995,17.7626
39.996,17.633
40.997,17.5055
41.998,17.379
42.999,17.2529
44,17.1282
45.001,17.0041
46.002,16.8808
47.003,16.7585
48.004,16.6373
48.974,16.5202
49.975,16.4002
50.976,16.2817
51.977,16.164
52.978,16.0464
53.979,15.9297
54.98,15.8146
55.981,15.7002
56.982,15.5869
57.983,15.4747
58.984,15.3632
59.985,15.2528
60.986,15.1425
61.987,15.0336
62.988,14.9257
63.989,14.8176
64.99,14.7106
65.991,14.6044
66.992,14.5006
67.993,14.3963
68.994,14.2932
69.995,14.1908
70.996,14.0875
71.997,13.9885
72.998,13.889
73.999,13.7899
75,13.6907
76.001,13.5926
77.002,13.4951
78.003,13.3982
79.004,13.3023
79.974,13.21
80.975,13.1151
81.976,13.0209
82.977,12.927
83.978,12.8341
84.979,12.7427
85.98,12.651
86.981,12.5605
87.982,12.4707
88.983,12.3814
89.984,12.2927
90.985,12.2054
91.986,12.118
92.987,12.0317
93.988,11.9455
94.989,11.8603
95.99,11.7759
96.991,11.6918
97.992,11.6096
98.993,11.5271
99.994,11.4459
100.995,11.3651
101.996,11.2843
102.997,11.2044
103.998,11.1254
104.999,11.0465
106,10.9688
107.001,10.891
108.002,10.8141
109.003,10.7373
110.004,10.6617
110.974,10.5885
111.975,10.5136
112.976,10.4391
113.977,10.3653
114.979,10.2914
115.979,10.2184
116.981,10.1462
117.982,10.0746
118.983,10.0036
119.984,9.93334
120.985,9.86371
121.986,9.79456
122.987,9.72609
123.988,9.65874
124.989,9.592
125.99,9.5247
126.991,9.45881
127.992,9.39319
128.993,9.32882
129.994,9.2645
130.995,9.20004
131.996,9.13643
132.997,9.07227
133.998,9.00877
134.999,8.94588
136,8.88274
137.001,8.82162
138.002,8.76008
139.003,8.69903
140.004,8.63874
140.974,8.5813
141.975,8.52147
142.976,8.46278
143.977,8.40434
144.978,8.34615
145.979,8.28895
146.98,8.23087
147.981,8.1742
148.982,8.11721
149.983,8.06055
150.984,8.0048
151.985,7.94995
152.986,7.8945
153.987,7.84006
154.988,7.78597
155.989,7.73143
156.99,7.67793
157.991,7.62451
158.992,7.57225
159.993,7.52024
160.994,7.46875
161.995,7.41662
162.996,7.36582
163.997,7.31428
164.998,7.2639
165.999,7.21279
167,7.16335
168.001,7.1137
169.002,7.06476
170.003,7.01672
171.004,6.96871
171.974,6.92244
172.975,6.87463
173.976,6.8281
174.977,6.78139
175.978,6.73555
176.979,6.68956
177.98,6.64367
178.981,6.5982
179.982,6.55244
180.983,6.50825
181.984,6.46458
182.985,6.42048
183.986,6.37694
184.987,6.33352
185.988,6.29003
186.989,6.24796
187.99,6.20548
188.991,6.16281
189.992,6.12219
190.993,6.08033
191.994,6.03952
192.995,5.99781
193.996,5.95685
194.997,5.91562
195.998,5.87516
196.999,5.8347
198,5.79468
199.001,5.75553
200.002,5.7164
201.003,5.67698
202.004,5.6377
202.974,5.59965
203.975,5.56131
204.976,5.52402
