t, ñ	wz	
2,135	50	
2,14	12	
2,145	-48	
2,15	-59	
2,155	-62	
2,16	-54	
2,165	-57	
2,17	-57	
2,175	-58	
2,18	-57	
2,185	-10	
2,19	13	
2,195	43	
2,2	63	
2,205	51	
2,21	44	
2,215	20	
2,22	5	
2,225	-13	
2,23	-55	
2,235	-77	
2,24	-84	
2,245	-83	
2,25	-42	
2,255	23	
2,26	68	
2,265	89	
2,27	93	
2,275	62	
2,28	23	
2,285	12	
2,29	8	
2,295	2	
2,3	-10	
2,305	-31	
2,31	-51	
2,315	-48	
2,32	-49	
2,325	-37	
2,33	-34	
2,335	-65	
2,34	-81	
2,345	-71	
2,35	-16	
2,355	95	
2,36	220	
2,365	323	
2,37	331	
2,375	260	
2,38	149	
2,385	12	
2,39	-124	
2,395	-158	
2,4	-205	
2,405	-238	
2,41	-266	
2,415	-261	
2,42	-199	
2,425	-81	
2,43	25	
2,435	103	
2,44	159	
2,445	157	
2,45	172	
2,455	182	
2,46	208	
2,465	200	
2,47	135	
2,475	17	
2,48	-91	
2,485	-149	
2,49	-197	
2,495	-203	
2,5	-162	
2,505	-132	
2,51	-99	
2,515	-31	
2,52	33	
2,525	121	
2,53	180	
2,535	185	
2,54	145	
2,545	92	
2,55	-7	
2,555	-91	
2,56	-122	
2,565	-165	
2,57	-166	
2,575	-152	
2,58	-85	
2,585	-24	
2,59	50	
2,595	104	
2,6	139	
2,605	151	
2,61	155	
2,615	136	
2,62	117	
2,625	34	
2,63	-93	
2,635	-175	
2,64	-251	
2,645	-247	
2,65	-239	
2,655	-180	
2,66	-137	
2,665	-36	
2,67	59	
2,675	194	
2,68	294	
2,685	374	
2,69	355	
2,695	285	
2,7	165	
2,705	47	
2,71	-92	
2,715	-147	
2,72	-188	
2,725	-237	
2,73	-270	
2,735	-256	
2,74	-163	
2,745	-63	
2,75	66	
2,755	148	
2,76	191	
2,765	169	
2,77	164	
2,775	143	
2,78	171	
2,785	152	
2,79	120	
2,795	1	
2,8	-77	
2,805	-130	
2,81	-129	
2,815	-111	
2,82	-52	
2,825	-24	
2,83	-5	
2,835	6	
2,84	17	
2,845	-66	
2,85	-169	
2,855	-308	
2,86	-334	
2,865	-248	
2,87	95	
2,875	859	
2,88	1368	
2,885	1953	
2,89	2394	
2,895	2731	
2,9	2750	
2,905	1924	
2,91	731	
2,915	-382	
2,92	-1355	
2,925	-1451	
2,93	-544	
2,935	1208	
2,94	2972	
2,945	4221	
2,95	4290	
2,955	3042	
2,96	1856	
2,965	565	
2,97	273	
2,975	802	
2,98	2196	
2,985	3488	
2,99	4672	
2,995	5130	
3,0	4921	
3,005	3849	
3,01	2779	
3,015	2071	
3,02	2196	
3,025	2748	
3,03	3840	
3,035	5461	
3,04	5692	
3,045	5281	
3,05	4365	
3,055	3636	
3,06	3037	
3,065	3078	
3,07	3709	
3,075	4853	
3,08	5724	
3,085	6161	
3,09	5962	
3,095	5401	
3,1	4524	
3,105	3797	
3,11	3569	
3,115	4463	
3,12	5492	
3,125	6318	
3,13	6869	
