t, ñ	wz	
44,695	-0,76	
44,7	-0,76	
44,705	-0,76	
44,71	-0,76	
44,715	-0,75	
44,72	-0,74	
44,725	-0,74	
44,73	-0,74	
44,735	-0,73	
44,74	-0,73	
44,745	-0,73	
44,75	-0,72	
44,755	-0,72	
44,76	-0,71	
44,765	-0,7	
44,77	-0,69	
44,775	-0,68	
44,78	-0,68	
44,785	-0,67	
44,79	-0,67	
44,795	-0,66	
44,8	-0,66	
44,805	-0,64	
44,81	-0,63	
44,815	-0,62	
44,82	-0,6	
44,825	-0,59	
44,83	-0,58	
44,835	-0,57	
44,84	-0,56	
44,845	-0,56	
44,85	-0,55	
44,855	-0,54	
44,86	-0,52	
44,865	-0,5	
44,87	-0,49	
44,875	-0,47	
44,88	-0,45	
44,885	-0,44	
44,89	-0,43	
44,895	-0,42	
44,9	-0,4	
44,905	-0,39	
44,91	-0,37	
44,915	-0,35	
44,92	-0,33	
44,925	-0,31	
44,93	-0,3	
44,935	-0,29	
44,94	-0,28	
44,945	-0,26	
44,95	-0,25	
44,955	-0,23	
44,96	-0,21	
44,965	-0,17	
44,97	-0,16	
44,975	-0,14	
44,98	-0,13	
44,985	-0,11	
44,99	-0,1	
44,995	-0,08	
45,0	-0,06	
45,005	-0,04	
45,01	-0,02	
45,015	0	
45,02	0,02	
45,025	0,03	
45,03	0,05	
45,035	0,06	
45,04	0,08	
45,045	0,1	
45,05	0,13	
45,055	0,15	
45,06	0,17	
45,065	0,18	
45,07	0,2	
45,075	0,21	
45,08	0,22	
45,085	0,24	
45,09	0,26	
45,095	0,28	
45,1	0,3	
45,105	0,32	
45,11	0,34	
45,115	0,35	
45,12	0,36	
45,125	0,38	
45,13	0,39	
45,135	0,4	
45,14	0,42	
45,145	0,44	
45,15	0,46	
45,155	0,48	
45,16	0,49	
45,165	0,5	
45,17	0,51	
45,175	0,51	
45,18	0,52	
45,185	0,54	
45,19	0,55	
45,195	0,57	
45,2	0,59	
45,205	0,6	
45,21	0,61	
45,215	0,62	
45,22	0,62	
45,225	0,63	
45,23	0,64	
45,235	0,65	
45,24	0,67	
45,245	0,67	
45,25	0,68	
45,255	0,69	
45,26	0,69	
45,265	0,7	
45,27	0,7	
45,275	0,71	
45,28	0,71	
45,285	0,73	
45,29	0,73	
45,295	0,74	
45,3	0,74	
45,305	0,74	
45,31	0,74	
45,315	0,74	
45,32	0,75	
45,325	0,75	
45,33	0,75	
45,335	0,75	
45,34	0,75	
45,345	0,75	
45,35	0,76	
45,355	0,75	
45,36	0,75	
45,365	0,75	
45,37	0,75	
45,375	0,74	
45,38	0,74	
45,385	0,74	
45,39	0,74	
45,395	0,73	
45,4	0,72	
45,405	0,72	
45,41	0,71	
45,415	0,71	
45,42	0,7	
45,425	0,7	
45,43	0,69	
45,435	0,68	
45,44	0,67	
45,445	0,67	
45,45	0,65	
45,455	0,64	
45,46	0,63	
45,465	0,62	
45,47	0,61	
45,475	0,61	
45,48	0,6	
45,485	0,59	
45,49	0,58	
45,495	0,56	
45,5	0,55	
45,505	0,53	
45,51	0,52	
45,515	0,51	
45,52	0,5	
45,525	0,48	
45,53	0,46	
45,535	0,44	
45,54	0,43	
45,545	0,42	
45,55	0,4	
45,555	0,39	
45,56	0,38	
