t, ñ	wz	
1,99	6205	
1,995	5829	
2,0	5136	
2,005	4434	
2,01	4014	
2,015	3970	
2,02	4255	
2,025	4790	
2,03	5434	
2,035	5941	
2,04	6080	
2,045	5901	
2,05	5523	
2,055	4801	
2,06	4410	
2,065	4261	
2,07	4372	
2,075	4567	
2,08	4794	
2,085	5005	
2,09	5152	
2,095	5125	
2,1	5004	
2,105	4848	
2,11	4660	
2,115	4457	
2,12	4255	
2,125	4114	
2,13	4050	
2,135	4043	
2,14	4156	
2,145	4344	
2,15	4470	
2,155	4501	
2,16	4395	
2,165	4177	
2,17	3784	
2,175	3339	
2,18	2929	
2,185	2740	
2,19	2729	
2,195	2888	
2,2	3173	
2,205	3513	
2,21	3676	
2,215	3556	
2,22	3017	
2,225	2502	
2,23	1984	
2,235	1623	
2,24	1568	
2,245	1718	
2,25	2011	
2,255	2267	
2,26	2456	
2,265	2440	
2,27	2182	
2,275	1708	
2,28	1204	
2,285	710	
2,29	363	
2,295	167	
2,3	301	
2,305	560	
2,31	810	
2,315	983	
2,32	997	
2,325	753	
2,33	307	
2,335	-231	
2,34	-736	
2,345	-1093	
2,35	-1214	
2,355	-1105	
2,36	-835	
2,365	-532	
2,37	-322	
2,375	-295	
2,38	-729	
2,385	-1252	
2,39	-1888	
2,395	-2345	
2,4	-2665	
2,405	-2694	
2,41	-2444	
2,415	-2033	
2,42	-1663	
2,425	-1499	
2,43	-1582	
2,435	-1948	
2,44	-2492	
2,445	-3087	
2,45	-3517	
2,455	-3697	
2,46	-3482	
2,465	-3130	
2,47	-2755	
2,475	-2563	
2,48	-2604	
2,485	-2906	
2,49	-3401	
2,495	-3915	
2,5	-4325	
2,505	-4524	
2,51	-4510	
2,515	-4244	
2,52	-3976	
2,525	-3727	
2,53	-3645	
2,535	-3669	
2,54	-3986	
2,545	-4251	
2,55	-4405	
2,555	-4562	
2,56	-4582	
2,565	-4610	
2,57	-4548	
2,575	-4553	
2,58	-4479	
2,585	-4439	
2,59	-4342	
2,595	-4314	
2,6	-4277	
2,605	-4319	
2,61	-4474	
2,615	-4702	
2,62	-4961	
2,625	-5164	
2,63	-5130	
2,635	-4839	
2,64	-4467	
2,645	-4034	
2,65	-3749	
2,655	-3658	
2,66	-3893	
2,665	-4279	
2,67	-4780	
2,675	-5122	
2,68	-5220	
2,685	-4928	
2,69	-4375	
2,695	-3731	
2,7	-3194	
2,705	-3025	
2,71	-3336	
2,715	-3938	
2,72	-4492	
2,725	-4851	
2,73	-4826	
2,735	-4405	
2,74	-3724	
2,745	-2964	
2,75	-2408	
2,755	-2181	
2,76	-2373	
2,765	-2779	
2,77	-3344	
2,775	-3706	
2,78	-3802	
2,785	-3252	
2,79	-2628	
2,795	-2033	
2,8	-1620	
2,805	-1519	
2,81	-1680	
2,815	-2004	
2,82	-2268	
2,825	-2427	
2,83	-2344	
2,835	-2072	
2,84	-1684	
2,845	-1338	
2,85	-1055	
2,855	-918	
2,86	-839	
2,865	-803	
2,87	-722	
2,875	-560	
2,88	-437	
2,885	-282	
2,89	-247	
2,895	-219	
2,9	-238	
2,905	-142	
2,91	-6	
2,915	303	
2,92	658	
2,925	977	
2,93	1186	
2,935	1219	
2,94	1085	
2,945	729	
2,95	635	
2,955	726	
2,96	1088	
2,965	1605	
2,97	2188	
2,975	2624	
2,98	2826	
2,985	2740	
2,99	2442	
2,995	2076	
3,0	1800	
3,005	1771	
3,01	1995	
3,015	2478	
3,02	3014	
3,025	3715	
3,03	3874	
3,035	3787	
3,04	3524	
3,045	3172	
3,05	2941	
3,055	2867	
3,06	3065	
3,065	3404	
3,07	3883	
3,075	4312	
3,08	4631	
3,085	4726	
3,09	4663	
3,095	4446	
3,1	4218	
3,105	4025	
3,11	3975	
3,115	4110	
3,12	4336	
3,125	4617	
3,13	4867	
3,135	5050	
3,14	5117	
3,145	5056	
3,15	4896	
3,155	4697	
3,16	4510	
3,165	4416	
3,17	4448	
3,175	4614	
3,18	4863	
3,185	5154	
3,19	5476	
3,195	5501	
3,2	5409	
3,205	5180	
3,21	4918	
3,215	4647	
3,22	4487	
3,225	4477	
3,23	4607	
3,235	4820	
3,24	5052	
3,245	5238	
3,25	5277	
3,255	5159	
3,26	4899	
3,265	4604	
3,27	4231	
3,275	4096	
3,28	4125	
3,285	4254	
3,29	4455	
3,295	4632	
3,3	4737	
3,305	4719	
3,31	4595	
3,315	4357	
3,32	4039	
3,325	3738	
3,33	3494	
3,335	3359	
3,34	3336	
3,345	3420	
3,35	3624	
3,355	3739	
3,36	3707	
3,365	3574	
3,37	3289	
3,375	2963	
3,38	2583	
3,385	2299	
3,39	2159	
3,395	2191	
3,4	2354	
3,405	2586	
3,41	2782	
3,415	2823	
3,42	2659	
3,425	2276	
3,43	1528	
3,435	1054	
3,44	759	
3,445	668	
3,45	849	
3,455	1136	
3,46	1406	
3,465	1525	
3,47	1433	
3,475	1065	
3,48	535	
3,485	14	
3,49	-396	
3,495	-597	
3,5	-541	
3,505	-310	
3,51	58	
3,515	192	
3,52	89	
3,525	-209	
3,53	-650	
3,535	-1105	
3,54	-1486	
3,545	-1709	
3,55	-1765	
3,555	-1680	
3,56	-1546	
3,565	-1451	
3,57	-1444	
3,575	-1571	
3,58	-1801	
3,585	-2078	
3,59	-2346	
3,595	-2625	
3,6	-2744	
3,605	-2772	
3,61	-2780	
3,615	-2788	
3,62	-2815	
3,625	-2817	
3,63	-2879	
3,635	-2986	
3,64	-3124	
3,645	-3274	
3,65	-3496	
3,655	-3743	
3,66	-3945	
3,665	-4083	
3,67	-4160	
3,675	-4061	
3,68	-3892	
3,685	-3756	
3,69	-3674	
3,695	-3720	
3,7	-3965	
3,705	-4266	
3,71	-4641	
3,715	-4884	
3,72	-4986	
3,725	-4858	
3,73	-4584	
3,735	-4260	
3,74	-4030	
3,745	-3952	
3,75	-4098	
3,755	-4672	
3,76	-5088	
3,765	-5375	
3,77	-5457	
3,775	-5319	
3,78	-4964	
3,785	-4544	
3,79	-4223	
3,795	-4124	
3,8	-4226	
3,805	-4530	
3,81	-4901	
3,815	-5203	
3,82	-5345	
3,825	-5246	
3,83	-4965	
3,835	-4402	
3,84	-4111	
3,845	-3984	
3,85	-4036	
3,855	-4234	
3,86	-4488	
3,865	-4702	
3,87	-4779	
3,875	-4720	
3,88	-4550	
3,885	-4312	
3,89	-4028	
3,895	-3844	
3,9	-3723	
3,905	-3698	
3,91	-3698	
3,915	-3754	
3,92	-3759	
3,925	-3716	
3,93	-3627	
3,935	-3503	
3,94	-3354	
3,945	-3162	
3,95	-2972	
3,955	-2773	
3,96	-2615	
3,965	-2505	
3,97	-2480	
3,975	-2496	
3,98	-2582	
3,985	-2628	
3,99	-2616	
3,995	-2400	
4,0	-2086	
4,005	-1752	
4,01	-1441	
4,015	-1206	
4,02	-1064	
4,025	-1101	
4,03	-1202	
4,035	-1318	
4,04	-1352	
4,045	-1288	
4,05	-1057	
4,055	-709	
4,06	-319	
4,065	23	
4,07	261	
4,075	342	
4,08	221	
4,085	108	
4,09	-9	
4,095	7	
4,1	142	
4,105	461	
4,11	815	
4,115	1203	
4,12	1509	
4,125	1681	
4,13	1698	
4,135	1620	
4,14	1505	
4,145	1432	
4,15	1458	
4,155	1592	
4,16	2049	
4,165	2407	
4,17	2720	
4,175	2957	
4,18	3033	
4,185	2994	
4,19	2863	
4,195	2721	
4,2	2637	
4,205	2700	
4,21	2858	
4,215	3130	
4,22	3437	
4,225	3752	
4,23	3971	
4,235	4093	
4,24	4060	
4,245	3946	
4,25	3842	
4,255	3790	
4,26	3865	
4,265	4009	
4,27	4247	
4,275	4498	
4,28	4713	
4,285	4819	
4,29	4863	
4,295	4810	
4,3	4711	
4,305	4604	
4,31	4554	
4,315	4563	
4,32	4690	
4,325	4845	
4,33	4988	
4,335	5146	
4,34	5245	
4,345	5300	
4,35	5290	
4,355	5244	
4,36	5148	
4,365	5033	
4,37	4951	
4,375	4927	
4,38	4949	
4,385	5044	
4,39	5178	
4,395	5297	
4,4	5433	
4,405	5367	
4,41	5237	
4,415	5027	
4,42	4798	
4,425	4595	
4,43	4520	
4,435	4548	
4,44	4704	
4,445	4936	
4,45	5122	
4,455	5217	
4,46	5140	
4,465	4921	
4,47	4574	
4,475	4241	
4,48	3925	
4,485	3915	
4,49	4061	
4,495	4273	
4,5	4472	
4,505	4529	
4,51	4427	
4,515	4161	
4,52	3793	
4,525	3388	
4,53	3104	
4,535	2933	
4,54	2985	
4,545	3119	
4,55	3314	
4,555	3489	
4,56	3496	
4,565	3157	
4,57	2825	
4,575	2435	
4,58	2111	
4,585	1925	
4,59	1921	
4,595	1949	
4,6	2038	
4,605	2068	
4,61	2033	
4,615	1865	
4,62	1653	
4,625	1377	
4,63	1136	
4,635	901	
4,64	745	
4,645	572	
4,65	522	
4,655	490	
4,66	447	
4,665	405	
4,67	337	
4,675	217	
4,68	43	
4,685	-165	
4,69	-392	
4,695	-622	
4,7	-839	
4,705	-989	
4,71	-1082	
4,715	-1099	
4,72	-1097	
4,725	-1093	
4,73	-1162	
4,735	-1352	
4,74	-1620	
4,745	-1969	
4,75	-2270	
4,755	-2512	
4,76	-2611	
4,765	-2571	
4,77	-2447	
4,775	-2324	
4,78	-2270	
4,785	-2346	
4,79	-2588	
4,795	-2915	
4,8	-3276	
4,805	-3709	
4,81	-3813	
4,815	-3781	
4,82	-3641	
4,825	-3477	
4,83	-3373	
4,835	-3415	
4,84	-3597	
4,845	-3897	
4,85	-4232	
4,855	-4530	
4,86	-4705	
4,865	-4713	
4,87	-4611	
4,875	-4463	
4,88	-4313	
4,885	-4253	
4,89	-4348	
4,895	-4540	
4,9	-4774	
4,905	-4978	
4,91	-5108	
4,915	-5174	
4,92	-5130	
4,925	-5045	
4,93	-4940	
4,935	-4876	
4,94	-4835	
4,945	-4880	
4,95	-4980	
4,955	-5098	
4,96	-5221	
4,965	-5351	
4,97	-5382	
4,975	-5335	
4,98	-5260	
4,985	-5121	
4,99	-4998	
4,995	-4880	
5,0	-4824	
5,005	-4798	
5,01	-4856	
5,015	-4962	
5,02	-5069	
5,025	-5134	
5,03	-5127	
5,035	-5041	
5,04	-4862	
5,045	-4666	
5,05	-4390	
5,055	-4337	
5,06	-4322	
5,065	-4396	
5,07	-4490	
5,075	-4582	
5,08	-4576	
5,085	-4485	
5,09	-4304	
5,095	-4041	
5,1	-3758	
5,105	-3533	
5,11	-3416	
5,115	-3359	
5,12	-3413	
5,125	-3491	
5,13	-3587	
5,135	-3526	
5,14	-3396	
5,145	-3163	
5,15	-2896	
5,155	-2634	
5,16	-2418	
