t, ñ	wz	
2,075	-199	
2,08	-18	
2,085	327	
2,09	964	
2,095	1396	
2,1	1720	
2,105	1565	
2,11	820	
2,115	377	
2,12	-72	
2,125	-4	
2,13	191	
2,135	835	
2,14	1254	
2,145	1687	
2,15	1571	
2,155	998	
2,16	539	
2,165	122	
2,17	82	
2,175	220	
2,18	777	
2,185	1162	
2,19	1541	
2,195	1452	
2,2	1005	
2,205	487	
2,21	101	
2,215	-64	
2,22	128	
2,225	557	
2,23	992	
2,235	1349	
2,24	1384	
2,245	1017	
2,25	430	
2,255	124	
2,26	-134	
2,265	96	
2,27	395	
2,275	940	
2,28	1255	
2,285	1412	
2,29	985	
2,295	398	
2,3	12	
2,305	-365	
2,31	-242	
2,315	-10	
2,32	528	
2,325	846	
2,33	1111	
2,335	823	
2,34	361	
2,345	-84	
2,35	-455	
2,355	-445	
2,36	-278	
2,365	159	
2,37	488	
2,375	806	
2,38	654	
2,385	322	
2,39	-98	
2,395	-429	
2,4	-565	
2,405	-503	
2,41	-238	
2,415	49	
2,42	298	
2,425	299	
2,43	63	
2,435	-309	
2,44	-541	
2,445	-743	
2,45	-671	
2,455	-567	
2,46	-297	
2,465	-174	
2,47	-107	
2,475	-262	
2,48	-538	
2,485	-686	
2,49	-836	
2,495	-750	
2,5	-722	
2,505	-550	
2,51	-524	
2,515	-454	
2,52	-672	
2,525	-905	
2,53	-1008	
2,535	-1132	
2,54	-1087	
2,545	-1042	
2,55	-852	
2,555	-852	
2,56	-812	
2,565	-1014	
2,57	-1148	
2,575	-1245	
2,58	-1331	
2,585	-1249	
2,59	-1223	
2,595	-1125	
2,6	-1200	
2,605	-1149	
2,61	-1328	
2,615	-1382	
2,62	-1470	
2,625	-1406	
2,63	-1427	
2,635	-1417	
2,64	-1471	
2,645	-1528	
2,65	-1593	
2,655	-1770	
2,66	-1608	
2,665	-1616	
2,67	-1386	
2,675	-1461	
2,68	-1321	
2,685	-1491	
2,69	-1543	
2,695	-1857	
2,7	-2012	
2,705	-1854	
2,71	-1861	
2,715	-1516	
2,72	-1441	
