t, ñ	wz	
46,04	4278	
46,045	4293	
46,05	4306	
46,055	4300	
46,06	4299	
46,065	4305	
46,07	4324	
46,075	4340	
46,08	4356	
46,085	4392	
46,09	4396	
46,095	4391	
46,1	4370	
46,105	4350	
46,11	4297	
46,115	4280	
46,12	4284	
46,125	4269	
46,13	4269	
46,135	4270	
46,14	4234	
46,145	4207	
46,15	4170	
46,155	4130	
46,16	4088	
46,165	4048	
46,17	4011	
46,175	3971	
46,18	3945	
46,185	3891	
46,19	3849	
46,195	3812	
46,2	3746	
46,205	3659	
46,21	3615	
46,215	3564	
46,22	3500	
46,225	3446	
46,23	3379	
46,235	3294	
46,24	3223	
46,245	3147	
46,25	3084	
46,255	3006	
46,26	2947	
46,265	2883	
46,27	2813	
46,275	2700	
46,28	2622	
46,285	2495	
46,29	2414	
46,295	2346	
46,3	2285	
46,305	2214	
46,31	2104	
46,315	2032	
46,32	1935	
46,325	1830	
46,33	1709	
46,335	1614	
46,34	1511	
46,345	1410	
46,35	1324	
46,355	1243	
46,36	1141	
46,365	1062	
46,37	905	
46,375	792	
46,38	700	
46,385	580	
46,39	481	
46,395	382	
46,4	298	
46,405	203	
46,41	107	
46,415	-7	
46,42	-110	
46,425	-211	
46,43	-333	
46,435	-407	
46,44	-509	
46,445	-619	
46,45	-774	
46,455	-884	
46,46	-1001	
46,465	-1092	
46,47	-1194	
46,475	-1287	
46,48	-1375	
46,485	-1449	
46,49	-1537	
46,495	-1639	
46,5	-1738	
46,505	-1848	
46,51	-1952	
46,515	-2039	
46,52	-2112	
46,525	-2190	
46,53	-2307	
46,535	-2376	
46,54	-2470	
46,545	-2571	
46,55	-2660	
46,555	-2747	
46,56	-2842	
46,565	-2938	
46,57	-2991	
46,575	-3051	
46,58	-3118	
46,585	-3185	
46,59	-3242	
46,595	-3317	
46,6	-3394	
46,605	-3464	
46,61	-3553	
46,615	-3611	
46,62	-3670	
46,625	-3710	
46,63	-3732	
46,635	-3780	
46,64	-3810	
46,645	-3860	
46,65	-3903	
46,655	-3971	
46,66	-4041	
46,665	-4076	
46,67	-4117	
46,675	-4150	
46,68	-4171	
46,685	-4193	
46,69	-4242	
46,695	-4257	
46,7	-4283	
46,705	-4304	
46,71	-4323	
46,715	-4339	
46,72	-4353	
46,725	-4368	
46,73	-4371	
46,735	-4393	
46,74	-4391	
46,745	-4383	
46,75	-4368	
46,755	-4358	
46,76	-4331	
46,765	-4325	
46,77	-4303	
46,775	-4301	
46,78	-4299	
46,785	-4273	
46,79	-4244	
46,795	-4222	
46,8	-4177	
46,805	-4122	
46,81	-4082	
46,815	-4051	
46,82	-4035	
46,825	-4005	
46,83	-3966	
46,835	-3949	
46,84	-3901	
46,845	-3838	
46,85	-3772	
46,855	-3715	
46,86	-3659	
46,865	-3614	
46,87	-3571	
46,875	-3519	
46,88	-3459	
46,885	-3373	
46,89	-3306	
46,895	-3227	
46,9	-3131	
46,905	-3067	
46,91	-3003	
46,915	-2941	
46,92	-2871	
46,925	-2796	
46,93	-2721	
46,935	-2603	
46,94	-2511	
46,945	-2423	
46,95	-2337	
46,955	-2250	
46,96	-2143	
46,965	-2049	
46,97	-1968	
46,975	-1887	
46,98	-1783	
46,985	-1707	
46,99	-1620	
46,995	-1536	
47,0	-1458	
47,005	-1364	
47,01	-1245	
47,015	-1081	
47,02	-959	
47,025	-860	
47,03	-739	
47,035	-669	
47,04	-572	
47,045	-490	
47,05	-386	
47,055	-309	
47,06	-206	
47,065	-88	
47,07	21	
47,075	142	
47,08	262	
47,085	360	
47,09	441	
47,095	585	
47,1	676	
47,105	782	
47,11	906	
47,115	1021	
47,12	1124	
47,125	1221	
47,13	1306	
47,135	1397	
47,14	1486	
47,145	1568	
47,15	1676	
47,155	1782	
47,16	1864	
47,165	1965	
47,17	2070	
47,175	2194	
47,18	2279	
47,185	2363	
47,19	2434	
47,195	2503	
47,2	2607	
47,205	2685	
47,21	2775	
47,215	2860	
47,22	2945	
47,225	2996	
47,23	3071	
47,235	3141	
47,24	3230	
47,245	3303	
47,25	3394	
47,255	3476	
47,26	3527	
47,265	3567	
47,27	3612	
47,275	3667	
47,28	3729	
47,285	3789	
47,29	3854	
47,295	3925	
47,3	3971	
47,305	4006	
47,31	4037	
47,315	4051	
47,32	4065	
47,325	4079	
47,33	4123	
47,335	4171	
47,34	4245	
47,345	4304	
47,35	4340	
47,355	4342	
47,36	4347	
47,365	4349	
47,37	4333	
47,375	4346	
47,38	4398	
47,385	4411	
47,39	4433	
