t	x
0.0	210.04999999999995
0.1599999999999991	202.85000000000002
0.31999999999999906	195.29999999999995
0.4799999999999991	190.95
0.6399999999999991	191.0
0.799999999999999	195.5
0.96	201.95000000000005
1.119999999999999	208.70000000000005
1.2799999999999991	215.35000000000002
1.439999999999999	217.25
1.5999999999999992	214.60000000000002
1.7599999999999991	209.79999999999995
1.919999999999999	202.70000000000005
2.079999999999999	195.54999999999995
2.239999999999999	191.05
2.399999999999999	191.05
2.560000000000001	195.35000000000002
2.7199999999999993	202.04999999999995
2.879999999999999	208.70000000000005
3.039999999999999	215.54999999999995
3.1999999999999993	217.45000000000005
3.359999999999999	214.70000000000005
3.519999999999999	209.35000000000002
3.6799999999999993	202.25
3.839999999999999	195.20000000000005
3.999999999999999	191.39999999999998
4.159999999999999	191.14999999999998
4.319999999999999	195.95000000000005
4.480000000000001	202.64999999999998
4.640000000000001	209.14999999999998
4.799999999999999	215.95000000000005
4.959999999999999	217.60000000000002
5.119999999999999	211.45000000000005
5.279999999999999	205.95000000000005
5.4399999999999995	201.5
5.599999999999999	195.64999999999998
5.759999999999999	195.29999999999995
5.919999999999999	196.95000000000005
6.079999999999999	202.35000000000002
6.239999999999999	208.75
6.3999999999999995	209.25
6.5600000000000005	211.54999999999995
6.720000000000001	210.04999999999995
6.879999999999999	207.64999999999998
7.039999999999999	205.45000000000005
7.199999999999999	201.54999999999995
7.359999999999999	197.14999999999998
7.519999999999999	195.04999999999995
7.679999999999999	197.45000000000005
7.839999999999999	200.35000000000002
7.999999999999999	203.25
8.159999999999998	207.39999999999998
8.32	211.04999999999995
8.48	210.39999999999998
8.64	209.0
8.8	207.0
8.96	203.25
9.12	200.14999999999998
9.28	198.20000000000005
9.44	200.14999999999998
9.6	203.29999999999995
9.76	205.29999999999995
9.92	207.25
10.08	207.04999999999995
10.24	205.79999999999995
10.4	204.10000000000002
10.56	203.35000000000002
10.72	201.70000000000005
10.88	200.25
11.04	200.10000000000002
11.2	201.25
11.36	201.70000000000005
11.520000000000003	203.75
11.680000000000003	206.14999999999998
11.840000000000003	207.85000000000002
12.0	209.04999999999995
12.16	207.89999999999998
12.32	207.25
12.48	205.10000000000002
12.64	203.25
12.8	201.64999999999998
12.96	202.35000000000002
13.12	203.64999999999998
13.28	204.14999999999998
13.44	205.10000000000002
13.76	205.54999999999995
13.92	204.10000000000002
14.08	203.20000000000005
14.24	202.10000000000002
14.4	201.70000000000005
14.56	202.0
14.72	202.85000000000002
14.88	203.5
15.04	203.89999999999998
15.2	204.29999999999995
15.36	204.29999999999995
15.520000000000003	204.85000000000002
15.680000000000003	204.79999999999995
15.840000000000003	204.10000000000002
16.0	204.10000000000002
16.16	204.10000000000002
16.32	204.14999999999998
16.48	204.14999999999998
16.64	204.35000000000002
16.8	204.35000000000002
16.96	204.04999999999995
