t	x
0.0	115.44999999999999
0.24	112.64999999999998
0.48	108.75
0.72	105.69999999999999
0.96	104.44999999999999
1.2	106.35000000000002
1.44	109.05000000000001
1.68	111.60000000000002
1.92	114.0
2.16	116.80000000000001
2.4	115.44999999999999
2.64	112.55000000000001
2.88	108.85000000000002
3.12	105.44999999999999
3.36	104.85000000000002
3.6	105.85000000000002
3.84	109.10000000000002
4.08	112.0
4.32	114.75
4.5600000000000005	116.80000000000001
4.8	115.60000000000002
5.04	112.64999999999998
5.28	108.44999999999999
5.520000000000001	105.35000000000002
5.76	104.75
6.0	106.19999999999999
6.24	109.0
6.48	111.80000000000001
6.72	114.89999999999998
6.96	116.60000000000002
7.2	115.55000000000001
7.44	112.69999999999999
7.68	109.0
7.92	105.30000000000001
8.16	104.5
8.4	106.19999999999999
8.64	108.39999999999998
8.88	112.19999999999999
9.120000000000001	115.30000000000001
9.36	117.30000000000001
9.6	115.75
9.84	112.55000000000001
10.08	108.64999999999998
10.32	105.80000000000001
10.56	104.35000000000002
10.8	106.69999999999999
11.040000000000003	108.89999999999998
11.28	111.64999999999998
11.52	114.75
11.76	116.39999999999998
12.0	115.44999999999999
12.24	112.55000000000001
12.48	108.0
12.72	105.80000000000001
12.96	104.44999999999999
13.200000000000001	107.10000000000002
13.44	109.0
13.68	111.89999999999998
13.92	114.35000000000002
14.16	116.14999999999998
14.4	114.64999999999998
14.64	112.60000000000002
14.88	108.69999999999999
15.120000000000001	105.60000000000002
15.36	104.75
15.6	106.60000000000002
15.84	109.60000000000002
16.080000000000002	111.19999999999999
16.32	113.5
16.56	116.10000000000002
16.8	115.05000000000001
17.04	112.69999999999999
17.28	108.80000000000001
17.52	105.30000000000001
17.76	104.85000000000002
18.0	106.5
18.240000000000002	109.05000000000001
18.48	111.5
18.72	114.75
18.96	116.5
19.2	115.64999999999998
19.44	113.14999999999998
19.68	108.64999999999998
19.92	105.69999999999999
