t	x
0.0	13.459617543833321
0.24	13.74574690701441
0.48	14.15186600314242
0.72	14.51645019171188
0.96	14.456455325238426
1.2	14.008801321551868
1.44	13.556532328136587
1.68	13.455002554104592
1.92	13.718056968642049
2.16	14.184170931243504
2.4	14.54414013008424
2.64	14.44722534578096
2.88	14.031876270195507
3.12	13.524227400035503
3.36	13.390392697902403
3.6	13.7272869480995
3.84	14.1149460853126
4.08	14.497990232796969
4.32	14.47491528415333
4.5600000000000005	14.036491259924237
4.8	13.528842389764225
5.04	13.505767441120586
5.28	13.718056968642049
5.520000000000001	14.07802616748278
5.76	14.521065181440608
6.0	14.451840335509697
6.24	14.059566208567869
6.48	13.570377297322768
6.72	13.422697626003494
6.96	13.71344197891332
7.2	14.087256146940238
7.44	14.484145263610788
7.68	14.461070314967149
7.92	14.07341117775405
8.16	13.565762307594039
8.4	13.431927605460952
8.64	13.6765220610835
8.88	14.064181198296598
9.120000000000001	14.461070314967149
9.36	14.442610356052239
9.6	14.031876270195507
9.84	13.607297215152588
10.08	13.408852656817313
10.32	13.621142184338769
10.56	14.087256146940238
10.8	14.451840335509697
11.040000000000003	14.451840335509697
11.28	14.045721239381688
11.52	13.593452245966407
11.76	13.399622677359861
12.0	13.630372163796228
12.24	14.041106249652959
12.48	14.43799536632351
12.72	14.410305427951148
12.96	14.07341117775405
13.200000000000001	13.514997420578037
13.44	13.371932738987493
13.68	13.611912204881317
13.92	14.082641157211508
14.16	14.382615489578779
14.4	14.419535407408606
14.64	14.064181198296598
14.88	13.607297215152588
15.120000000000001	13.399622677359861
15.36	13.602682225423866
15.6	14.027261280466778
15.84	14.43338037659478
16.080000000000002	14.470300294424607
16.32	14.1149460853126
16.56	13.598067235695137
16.8	13.376547728716222
17.04	13.598067235695137
17.28	14.031876270195507
17.52	14.401075448493696
17.76	14.502605222525691
18.0	14.161095982599871
18.240000000000002	13.621142184338769
18.48	13.408852656817313
18.72	13.551917338407858
18.96	13.981111383179506
19.2	14.405690438222425
19.44	14.428765386866058
19.68	14.161095982599871
19.92	13.6765220610835
