t	x
0.0	352.25
0.24	353.4
0.48	353.95000000000005
0.72	356.1
0.96	359.0
1.2	359.9
1.44	356.4
1.68	352.29999999999995
1.92	347.54999999999995
2.16	346.6
2.4	348.25
2.64	350.25
2.88	352.25
3.12	353.20000000000005
3.36	354.29999999999995
3.6	357.1
3.84	359.25
4.08	358.85
4.32	355.70000000000005
4.5600000000000005	351.6
4.8	347.29999999999995
5.04	346.95000000000005
5.28	348.54999999999995
5.520000000000001	351.95000000000005
5.76	352.75
6.0	354.45000000000005
6.24	353.79999999999995
6.48	356.45000000000005
6.72	359.6
6.96	357.95000000000005
7.2	355.9
7.44	351.6
7.68	347.25
7.92	348.45000000000005
8.16	348.65
8.4	351.25
8.64	351.95000000000005
8.88	353.29999999999995
9.120000000000001	354.85
9.36	357.4
9.6	359.4
9.84	357.4
10.08	354.5
10.32	351.04999999999995
10.56	346.9
10.8	348.65
11.040000000000003	350.45000000000005
11.28	351.5
11.52	353.20000000000005
11.76	353.6
12.0	354.85
12.24	357.29999999999995
12.48	359.6
12.72	356.9
12.96	353.79999999999995
13.200000000000001	351.9
13.44	347.4
13.68	349.79999999999995
13.92	350.79999999999995
14.16	352.0
14.4	353.54999999999995
14.64	354.15
14.88	355.6
15.120000000000001	357.5
15.36	360.20000000000005
15.6	357.75
15.84	354.1
16.080000000000002	348.20000000000005
16.32	347.85
16.56	348.85
16.8	350.54999999999995
17.04	352.0
17.28	353.45000000000005
17.52	353.70000000000005
17.76	355.5
18.0	358.1
18.240000000000002	359.54999999999995
18.48	357.75
18.72	351.65
18.96	348.70000000000005
19.2	346.75
19.44	349.35
19.68	351.45000000000005
19.92	353.1
